Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2017-12-15,40.78185272216797,40.82873578264314,40.42788150208995,40.702151161665356,160677200
2017-12-18,41.356178283691406,41.53902472350812,40.99048540405797,40.99517478319252,117684400
2017-12-19,40.915462493896484,41.11471993738087,40.809974731971415,41.03032901245129,109745600
2017-12-20,40.87093734741211,41.12176371470481,40.61307512220596,40.992832602101736,93902400
2017-12-21,41.025638580322266,41.26240389034865,40.81232016126794,40.828727619527115,83799600
2017-12-22,41.025638580322266,41.121751160096395,40.9060862634711,40.94827993637827,65397600
2017-12-26,39.98482894897461,40.19580450423531,39.77619271779822,40.038744288306006,132742000
2017-12-27,39.99186706542969,40.03406075186031,39.7832343807536,39.874657611635286,85992800
2017-12-28,40.1043815612793,40.28488509656148,39.96372880551039,40.0856276220469,65920800
2017-12-29,39.67070388793945,39.98951369035496,39.66836098696915,39.97310622966674,103999600
2018-01-02,40.38099670410156,40.390375462792754,39.67774003409455,39.888719181265685,102223600
2018-01-03,40.37397003173828,40.91782364902339,40.31067949804907,40.444296423897406,118071600
2018-01-04,40.561500549316406,40.66464543398791,40.33880331756572,40.44663400466889,89738400
2018-01-05,41.0233039855957,41.11003782654181,40.56618788514586,40.65761110523582,94640000
2018-01-08,40.87093734741211,41.1663038787812,40.77247826000714,40.87093734741211,82271200
2018-01-09,40.86624526977539,41.037370056869754,40.6505803215452,40.91781771141178,86336000
2018-01-10,40.85686492919922,40.8592114072408,40.55446614853844,40.59197402772143,95839600
2018-01-11,41.08893966674805,41.138169203807585,40.90375033141539,40.92719007248573,74670800
2018-01-12,41.51322937011719,41.576523455189026,41.175665685663965,41.29990737828252,101672400
2018-01-16,41.302268981933594,42.05240879047136,41.29054732085747,41.703123321316056,118263600
2018-01-17,41.98442459106445,42.01958599375267,41.03971675139146,41.29288600464342,137547200
2018-01-18,42.02193069458008,42.21884528891234,41.785168893460266,42.04771691663856,124773600
2018-01-19,41.83440017700195,42.096948211104824,41.58825960655617,41.86956158265905,129700400
2018-01-22,41.49214172363281,41.67498816371669,41.39837560249429,41.56246810296082,108434400
2018-01-23,41.501522064208984,42.06412959182509,41.4499531950358,41.56247326977955,130756400
2018-01-24,40.84046173095703,41.56247238433268,40.60135344739043,41.55075072374585,204420400
2018-01-25,40.111412048339844,41.01157962956729,39.97544867769382,40.908434756873895,166116000
2018-01-26,40.20518493652344,40.32005148718261,39.86527824112005,40.32005148718261,156572000
2018-01-29,39.37299728393555,39.88871811273601,39.1643646205002,39.88871811273601,202561600
2018-01-30,39.14091873168945,39.23468484824336,38.60878689902846,38.803354988978484,184192800
2018-01-31,39.248748779296875,39.485514121767004,39.030740952174725,39.11747478744508,129915600
2018-02-01,39.3307991027832,39.527710102026376,39.09169084544609,39.18780344398676,188923200
2018-02-02,37.624229431152344,39.10106905879282,37.53046331194743,38.91353324343483,346375200
2018-02-05,36.68421173095703,38.41656710692607,36.56934519233104,37.29604514936819,290954000
2018-02-06,38.217315673828125,38.37906529853758,36.10051314382347,36.29508127376754,272975200
2018-02-07,37.39918899536133,38.30404607461317,37.28901540532446,38.23137678935655,206434400
2018-02-08,36.370086669921875,37.74143850604499,36.34195754982027,37.57499953256489,217562000
2018-02-09,36.81494903564453,37.163302504135125,35.36268790898126,36.970297163097975,282690400
2018-02-12,38.29779815673828,38.575538427519355,37.07384751018911,37.30686962921548,243278000
2018-02-13,38.68147659301758,38.77798108013177,38.04831808753436,38.11893121448457,130196800
2018-02-14,39.3946533203125,39.434666579116744,38.33782345919585,38.375480672961444,162579600
2018-02-15,40.717464447021484,40.74099975851867,39.77831824404765,39.964262648464526,204588800
2018-02-16,40.58564376831055,41.148192554732624,40.430299249571625,40.56916941260214,160704400
